"treatment","group","elapsed.time","valve","Methanol","Hydrogen sulfide","4-Methylphenol","Acetic acid","Butanoic acid","Pentanoic acid","Propanoic acid","Acetaldehyde","Formic acid","Methanethiol","Acetone","Trimethylamine","Dimethyl sulfide","Isoprene","Butanone","Butanedione","Phenol","4-ethyl phenol","Methyl indole","SOAV"
"1.5","Low acid",109,10,0.00000732605628282828,0,0,0,0,0,0,0,0.000058788210530303,0,0,6.20334706666667,0.0243802923188406,0.00432148314583333,0,0,0.0284640401984127,0,0,6.26057899659657
"1.5","Low acid",109,15,0,0,0,0,0,0,0,0,0,0,0,4.82564514166667,0,0.00130285395833333,0,0,0,0.181181775,0,5.008129770625
"1.5","Low acid",111,3,0.0000329346931414142,0.27492406875,6.41581108333333,0,0,0.194912513333333,0.0655635029824561,0,0.000000554552045454687,0.154246322222223,0,0,0,0,0,0,0,0,0,7.10549097986653
"1.5","Low acid",111,10,0.0000368382298080808,2.75112807125,0,0.0309249963052208,0,0.860828028333333,0,0,0.0001282070675,4.32864408888889,0,0.9728630875,0,0,0,0,0,0,0,8.94455331757475
"1.5","Low acid",111,15,0,0,2.45388823333333,0,0,0.902510978333333,0,0,0,0.170975955555556,0,0,0.051430612173913,0,0,0,0,0,0,3.57880577939614
"1.5","Low acid",114,3,0.0000514424383535354,0,5.71848913333333,0.186355256305221,1.2894538942029,0,0.0868032567836258,0,0.0000195326,0,0.0000773711183571429,1.92747195,0.0887707876811595,0,0,0,0.00215031095238095,0,0,9.29964293541533
"1.5","Low acid",114,10,0.0000768598025959597,0,0,0.307283562329317,0,1.47767923666667,0.0428336088888889,0.24376209,0,0,0.0000675993804285714,9.8141321375,0,0.00473102721527778,0.000112670756818182,1.76130907222222,0.00495235464285714,0,0,13.6569402194051
"1.5","Low acid",114,15,0,0,1.14891473333333,0,0,0,0,0,0,0,0.0000445702954523809,5.5377218,0.0129173942028986,0,0.000251370627272727,0,0.00144002214285714,0.4296454125,6.6487038,13.7796391031018
"1.5","Low acid",116,3,0.0000976869794141415,5.81904717458333,9.30959018333334,0.310577469638554,0.250279985507247,0,0.223118232923977,0.960805028222222,0,0,0.00015719605902381,3.91034609583333,0,0.00164369161805555,0.000275504139393939,1.01090462222222,0,0.2197590025,0,22.0166018735601
"1.5","Low acid",116,10,0.0000831939412323232,2.08213692083333,7.14054363333333,0.50345581060241,2.7516527942029,1.97102834333333,0.251761496608187,0.886991322222222,0.000088676496590909,0,0.000189236085214286,2.95423507083333,0,0.00254880482638889,0.000182915896212121,4.24277278888889,0.00806480015873016,0.0854786575,0,22.8812144657623
